Wall time,Step,Value
1683119743.1975088,1116,-1000.3240966796875
1683119749.59787,1119,-1000.2189331054688
1683119756.0347323,1122,-1000.2576904296875
1683119758.1774063,1123,-1000.3118286132812
1683119762.213446,1125,-1000.0281372070312
1683119764.6659868,1126,-1000.12451171875
1683119767.0161457,1127,-1000.0884399414062
1683119773.8996189,1130,-1000.0626220703125
1683119776.1351652,1131,-1000.1060791015625
1683119780.500534,1133,-1000.0315551757812
1683119782.6990325,1134,-1000.0926513671875
1683119784.9465594,1135,-1000.0704956054688
1683119792.6138766,1138,-1000.2540893554688
1683119794.9389482,1139,-1000.1221923828125
1683119820.4053922,1149,-1000.3447265625
1683119826.9376843,1151,-1000.0968627929688
1683119829.4236753,1152,-1000.178466796875
1683119836.4111464,1155,-1000.1668090820312
1683119840.0660126,1156,-1000.0726318359375
1683119842.6911817,1157,-1000.0836181640625
1683119851.0664124,1160,-716.6873779296875
1683119853.7054887,1161,-1000.0286254882812
1683119857.698528,1162,-1000.2100219726562
1683119896.5540257,1177,-1000.3355102539062
1683119903.9085371,1180,-1000.1028442382812
1683119908.7795115,1182,-1000.3025512695312
1683119911.350494,1183,-1000.1281127929688
1683119916.222226,1185,-1000.06396484375
1683119918.9322867,1186,-1000.2294921875
1683119926.7391217,1189,-1000.1883544921875
1683119934.7045343,1192,-1000.2769775390625
1683119937.072985,1193,-1000.2351684570312
1683119939.729444,1194,-1000.0296020507812
1683119943.4208615,1195,-1000.1180419921875
1683119948.4699616,1197,-1000.0264892578125
1683119955.155217,1199,-1000.1573486328125
1683119961.8305953,1201,-1000.007080078125
1683119967.5595593,1203,-1000.2421875
1683119969.836498,1204,-1000.1254272460938
1683119974.99184,1206,-1000.065185546875
1683119980.5492115,1208,-1000.3286743164062
1683119988.2274518,1210,-1000.0050659179688
1683119991.6923234,1211,-1000.257080078125
1683119993.9927864,1212,-1000.0963134765625
1683119997.7012184,1213,-1000.0639038085938
1683120001.0674617,1214,-1000.1466064453125
1683120024.8246136,1224,-1000.1138305664062
1683120027.2070527,1225,-1000.1624755859375
1683120036.47899,1228,-1000.1808471679688
1683120048.1032,1232,-1000.1812744140625
1683120050.9028401,1233,-502.61065673828125
1683120053.882888,1234,-1000.0609130859375
1683120059.6315277,1236,-1000.18896484375
1683120070.198745,1239,-1000.1201782226562
1683120077.41755,1242,-483.49591064453125
1683120082.1427739,1244,-1000.323974609375
1683120085.9589028,1246,-264.7198791503906
1683120089.0331855,1247,-579.3709106445312
1683120094.8918767,1249,-839.8363647460938
1683120106.685702,1253,-1000.140625
1683120109.4731483,1254,-592.3617553710938
1683120113.8192146,1255,-1000.0853881835938
1683120120.1278584,1257,-1000.2509765625
1683120123.7837095,1258,-1000.0333862304688
1683120131.2374203,1261,-1000.0983276367188
1683120133.5501723,1262,-541.8880615234375
1683120134.6158366,1263,-261.38348388671875
1683120138.755007,1264,-1000.0482177734375
1683120141.4465284,1265,-1000.2018432617188
1683120142.4407785,1266,-257.2713317871094
1683120154.527397,1271,-1000.1395874023438
1683120157.099175,1272,-505.27899169921875
1683120163.6749783,1274,-1000.0331420898438
1683120175.324221,1278,-1000.174072265625
1683120178.1260896,1279,-658.9569091796875
1683120182.7402759,1281,-359.5722961425781
1683120193.9797747,1285,-1000.243408203125
1683120199.6584015,1287,-843.37060546875
1683120207.2963364,1291,-600.2169189453125
1683120209.6216786,1292,-489.9378356933594
